Substrate,CAZy.Family
Cellulose,AA16
Cellulose,AA3
Cellulose,AA3_1
Cellulose,AA9
Cellulose,GH1
Cellulose,GH12
Cellulose,GH131
Cellulose,GH141
Cellulose,GH29
Cellulose,GH3
Cellulose,GH3_4
Cellulose,GH30_1
Cellulose,GH32
Cellulose,GH45
Cellulose,GH48
Cellulose,GH5
Cellulose,GH5_1
Cellulose,GH5_22
Cellulose,GH5_4
Cellulose,GH5_5
Cellulose,GH5_7
Cellulose,GH51
Cellulose,GH55
Cellulose,GH6
Cellulose,GH6_2
Cellulose,GH61
Cellulose,GH7
Cellulose,GH74
Cutin,CE5
Hemicellulose,AA14
Hemicellulose,AA3_1
Hemicellulose,CE1
Hemicellulose,CE15
Hemicellulose,CE16
Hemicellulose,CE2
Hemicellulose,CE3
Hemicellulose,CE4
Hemicellulose,CE5
Hemicellulose,CE6
Hemicellulose,CE7
Hemicellulose,GH10
Hemicellulose,GH11
Hemicellulose,GH113
Hemicellulose,GH115
Hemicellulose,GH120
Hemicellulose,GH13
Hemicellulose,GH141
Hemicellulose,GH16
Hemicellulose,GH2
Hemicellulose,GH26
Hemicellulose,GH27
Hemicellulose,GH29
Hemicellulose,GH3
Hemicellulose,GH30
Hemicellulose,GH30_1
Hemicellulose,GH30_7
Hemicellulose,GH31
Hemicellulose,GH35
Hemicellulose,GH36
Hemicellulose,GH39
Hemicellulose,GH43
Hemicellulose,GH44
Hemicellulose,GH5
Hemicellulose,GH5_1
Hemicellulose,GH5_2
Hemicellulose,GH5_22
Hemicellulose,GH5_7
Hemicellulose,GH51
Hemicellulose,GH52
Hemicellulose,GH53
Hemicellulose,GH54
Hemicellulose,GH55
Hemicellulose,GH62
Hemicellulose,GH67
Hemicellulose,GH72
Hemicellulose,GH74
Hemicellulose,GH79
Hemicellulose,GH8
Hemicellulose,GH93
Hemicellulose,GH95
Lignin,AA1_1
Lignin,AA1_3
Lignin,AA2
Lignin,AA3_1
Lignin,AA3_2
Lignin,AA5
Pectin,CE1
Pectin,CE12
Pectin,CE13
Pectin,CE8
Pectin,GH1
Pectin,GH105
Pectin,GH106
Pectin,GH16
Pectin,GH2
Pectin,GH27
Pectin,GH28
Pectin,GH3
Pectin,GH30
Pectin,GH35
Pectin,GH36
Pectin,GH4
Pectin,GH42
Pectin,GH43
Pectin,GH49
Pectin,GH5
Pectin,GH51
Pectin,GH53
Pectin,GH54
Pectin,GH62
Pectin,GH78
Pectin,GH79
Pectin,GH88
Pectin,PL1
Pectin,PL1_4
Pectin,PL1_7
Pectin,PL11
Pectin,PL2
Pectin,PL26
Pectin,PL3
Pectin,PL3_2
Pectin,PL4
Pectin,PL9
